city_name,country_code,iata_code,hotel_data_city_key,notes
Barcelona,ES,BCN,barcelona,
Madrid,ES,MAD,madrid,
Rome,IT,FCO,rome,
Milan,IT,MXP,milan,
Athens,GR,ATH,athens,
Thessaloniki,GR,SKG,thessaloniki,
Heraklion,GR,HER,heraklion,
Rhodes,GR,RHO,rhodes,
Larnaca,CY,LCA,larnaca,
Istanbul,TR,IST,istanbul,
Prague,CZ,PRG,prague,
Budapest,HU,BUD,budapest,
Berlin,DE,BER,berlin,
Munich,DE,MUC,munich,
Amsterdam,NL,AMS,amsterdam,
Lisbon,PT,LIS,lisbon,
Vienna,AT,VIE,vienna,
Warsaw,PL,WAW,warsaw,
Sofia,BG,SOF,sofia,
Bucharest,RO,OTP,bucharest,
Zurich,CH,ZRH,zurich,
Copenhagen,DK,CPH,copenhagen,
Tbilisi,GE,TBS,tbilisi,
Batumi,GE,BUS,batumi,
Dubai,AE,DXB,dubai,
Bangkok,TH,BKK,bangkok,
London,GB,LHR,london,
Paris,FR,CDG,paris,
New York,US,JFK,new york,
Tokyo,JP,NRT,tokyo,
Seoul,KR,ICN,seoul,
Boston,US,BOS,boston,
Sydney,AU,SYD,sydney,
Phuket,TH,HKT,phuket,
Rio de Janeiro,BR,GIG,rio de janeiro,
Colombo,LK,CMB,colombo,
Catania,IT,CTA,catania,
Miami,US,MIA,miami,
Nice,FR,NCE,nice,
Paphos,CY,PFO,paphos,
Frankfurt,DE,FRA,frankfurt,
Geneva,CH,GVA,geneva,
Moscow,RU,SVO,moscow,
Mumbai,IN,BOM,mumbai,
Delhi,IN,DEL,delhi,
